id,price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_identity_verified,host_response_rate,host_since,neighbourhood,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds
8284881,621.46,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",8,3,Real Bed,strict,1,LA,f,100%,2016-11-01,Pacific Palisades,1,,90272,4,6
8284882,621.46,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",8,3,Real Bed,strict,1,LA,f,100%,2016-11-01,Pacific Palisades,1,,90272,4,6
9479348,598.9,Apartment,Entire home/apt,"{""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",7,2,Real Bed,strict,0,NYC,f,100%,2017-07-03,Hell's Kitchen,1,60,10036,3,4
8596057,420.47,House,Private room,"{""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Breakfast,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",""Self Check-In"",""Doorman Entry""}",1,2,Real Bed,flexible,0,LA,f,100%,2016-04-20,,0,,91748,1,1
11525500,478.75,Apartment,Entire home/apt,"{""Wireless Internet"",""Air conditioning"",Heating,Washer,Dryer,Essentials,""Laptop friendly workspace"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Host greets you""}",2,1,Real Bed,flexible,1,NYC,f,100%,2017-10-07,Williamsburg,2,100,11206,1,1
533884,662.01,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace""}",6,1,Real Bed,flexible,0,SF,f,,2016-01-20,Cow Hollow,0,,94123,3,3
1404510,534.71,Townhouse,Entire home/apt,"{TV,""Wireless Internet"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",6,2,Real Bed,moderate,1,LA,t,100%,2015-09-02,West Los Angeles,10,95,90025,3,3
4691130,444.27,House,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",2,1,Real Bed,flexible,1,LA,t,0%,2013-10-28,,0,,91324,1,1
16449480,468.21,Apartment,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo}",2,1,Real Bed,moderate,1,NYC,f,100%,2012-03-26,East Harlem,4,90,10029,1,1
12513361,555.68,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",""Smoke detector"",""Carbon monoxide detector"",Essentials,""Lock on bedroom door"",Hangers,Iron}",2,1,Real Bed,flexible,0,NYC,t,89%,2015-11-18,East Harlem,3,87,10029,0,1
15149374,444.27,Bungalow,Private room,"{""Wireless Internet"",Kitchen,""Pets allowed"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",3,1,Real Bed,strict,1,LA,t,97%,2012-08-17,Venice,3,100,90291,0,1
11972209,548.06,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",Bathtub,""Baby bath"",""High chair"",""Children��s books and toys"",""Pack ��n Play/travel crib"",""Children��s dinnerware""}",7,1,Real Bed,strict,1,NYC,t,100%,2014-01-29,East Harlem,140,94,10029,3,3
6689195,433.07,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,Gym,""Pets live on this property"",Cat(s),""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",4,1,Real Bed,strict,0,LA,t,,2013-05-30,Burbank,1,,91504,2,2
17009057,552.15,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}",4,2,Real Bed,moderate,1,SF,t,80%,2014-02-23,Bernal Heights,25,98,94110,2,2
18333003,570.04,Apartment,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,Gym,""Elevator in building"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Laptop friendly workspace"",""Private living room""}",4,2,Real Bed,flexible,0,Chicago,f,80%,2015-06-30,Loop,0,,60606,2,2
16274069,482.83,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials}",4,1,Real Bed,moderate,1,NYC,f,100%,2014-02-11,Bedford-Stuyvesant,13,92,11216,2,3
13121821,501.06,Apartment,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Smoke detector"",""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",1,1,Real Bed,flexible,0,NYC,f,,2014-09-20,Park Slope,0,,11215,1,1
15705947,478.75,Apartment,Entire home/apt,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,""Hair dryer"",Iron,""Laptop friendly workspace""}",4,1,Real Bed,moderate,1,NYC,f,80%,2015-07-09,Upper East Side,7,90,10065,1,2
11456592,529.83,Loft,Private room,"{""Wireless Internet"",""Air conditioning"",""Free parking on premises"",Breakfast,Heating,Essentials,""Lock on bedroom door"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,moderate,0,NYC,f,100%,2011-02-23,Williamsburg,0,,11211,0,2
11456593,529.83,Loft,Private room,"{""Wireless Internet"",""Air conditioning"",""Free parking on premises"",Breakfast,Heating,Essentials,""Lock on bedroom door"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,moderate,0,NYC,f,100%,2011-02-23,Williamsburg,0,,11211,0,2
11456594,529.83,Loft,Private room,"{""Wireless Internet"",""Air conditioning"",""Free parking on premises"",Breakfast,Heating,Essentials,""Lock on bedroom door"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,moderate,0,NYC,f,100%,2011-02-23,Williamsburg,0,,11211,0,2
1077375,400.73,Apartment,Private room,"{""Wireless Internet"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",1,1,Real Bed,moderate,1,NYC,t,,2015-04-04,Sunset Park,1,100,11220,1,1
12497464,431.75,Apartment,Private room,"{""Wireless Internet"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector""}",2,1,Real Bed,moderate,1,NYC,t,,2014-01-14,Crown Heights,2,80,11238,1,1
16073836,431.75,House,Private room,"{TV,Internet,""Wireless Internet"",""Free parking on premises"",""Family/kid friendly"",Washer,Dryer,Essentials}",2,1,Real Bed,flexible,0,LA,f,,2016-09-02,Culver City,0,,90232,1,1
17681277,529.83,Apartment,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo}",2,1,Real Bed,strict,1,LA,t,100%,2011-04-07,Echo Park,0,,90026,1,1
4471474,313.55,House,Shared room,{},1,1,Real Bed,flexible,1,LA,t,100%,2013-12-20,,0,,91405,1,1
15754561,482.83,Apartment,Entire home/apt,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace""}",4,1,Real Bed,moderate,1,NYC,f,100%,2017-06-07,Bedford-Stuyvesant,0,,11216,1,1
19875244,630.99,Condominium,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,Breakfast,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",6,2,Real Bed,flexible,1,Chicago,t,100%,2010-09-27,Lakeview,0,,60657,2,2
12954602,465.4,Loft,Entire home/apt,"{Internet,""Wireless Internet"",""Free parking on premises"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox}",3,1,Real Bed,moderate,1,LA,f,100%,2015-11-14,Westside,43,97,90064,0,2
19118005,552.15,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating}",2,1,Real Bed,strict,0,NYC,t,0%,2009-11-12,Alphabet City,11,93,10009,1,2
16662334,400.73,House,Private room,"{""Wireless Internet"",Kitchen,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,flexible,1,LA,t,100%,2014-09-20,Gardena,6,97,90249,1,1
20049857,474.49,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Smoke detector"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,moderate,1,LA,f,,2017-10-07,West Hollywood,0,,90046,1,1
18157879,570.38,House,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",7,2,Real Bed,strict,1,Chicago,t,,2016-01-20,Lincoln Park,9,98,60614,3,3
17666136,538.91,Apartment,Entire home/apt,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo}",4,1,Real Bed,moderate,1,NYC,f,,2014-11-17,East Village,1,100,10003,2,3
2135314,519.3,Loft,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Doorman,Elevator,""Hot tub"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo}",2,1,Real Bed,strict,0,NYC,f,,2015-07-09,East Village,3,87,10003,1,1
5321584,717.01,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",8,2,Real Bed,strict,1,SF,t,,2014-09-20,Hayes Valley,4,100,94102,4,5
3710477,674.52,House,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",14,2,Real Bed,moderate,1,NYC,f,100%,2017-10-07,Astoria,0,,11103,6,8
13978228,578.38,House,Entire home/apt,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace""}",4,3,Real Bed,flexible,0,LA,t,100%,2015-08-05,Mount Washington,0,,90065,2,2
16028615,487.52,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,Gym,""Elevator in building"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",4,2,Real Bed,moderate,1,Chicago,t,100%,2016-09-02,Loop,1,100,60605,2,2
15027031,548.06,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",3,1,Real Bed,strict,1,NYC,t,100%,2014-09-20,Alphabet City,12,98,10009,1,2
10842610,519.3,Apartment,Entire home/apt,"{""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",6,1,Real Bed,flexible,1,NYC,t,100%,2012-07-07,The Rockaways,5,100,11692,3,3
19245819,424.85,Apartment,Private room,"{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Washer,Dryer,""Smoke detector"",""Fire extinguisher""}",1,1,Real Bed,moderate,0,SF,t,,2010-03-16,Mission District,12,90,94110,1,1
7196412,366.36,Cabin,Private room,"{""Wireless Internet"",Kitchen,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,3,Real Bed,moderate,0,LA,f,100%,2016-09-10,Valley Glen,14,91,91606,1,1
16333776,482.83,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}",2,1,Real Bed,strict,1,SF,t,100%,2013-12-26,Richmond District,117,96,94118,1,1
16333777,482.83,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}",2,1,Real Bed,strict,1,SF,t,100%,2013-12-26,Richmond District,117,96,94118,1,1
16333778,482.83,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}",2,1,Real Bed,strict,1,SF,t,100%,2013-12-26,Richmond District,117,96,94118,1,1
16333779,482.83,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}",2,1,Real Bed,strict,1,SF,t,100%,2013-12-26,Richmond District,117,96,94118,1,1
16333772,482.83,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}",2,1,Real Bed,strict,1,SF,t,100%,2013-12-26,Richmond District,117,96,94118,1,1
12592005,524.7,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron}",4,1,Real Bed,moderate,1,NYC,f,90%,2017-07-06,Harlem,10,100,10039,1,2
1174876,424.85,House,Private room,"{""Wireless Internet"",""Air conditioning"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,strict,0,NYC,t,100%,2015-06-10,Harlem,69,93,10027,1,1
20888646,423.41,House,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private living room"",""Private entrance""}",2,1,Real Bed,flexible,1,LA,f,98%,2016-11-20,Canoga Park,4,100,91303,0,1
1786412,448.86,Apartment,Private room,"{""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Suitable for events"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,strict,1,NYC,t,93%,2010-05-11,Williamsburg,8,86,11211,1,1
14575777,506.89,Villa,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",6,2,Real Bed,strict,1,LA,t,70%,2015-10-22,,2,100,90703,3,3
20515889,720.79,Villa,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",""Elevator in building"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo}",8,3,Real Bed,strict,1,LA,f,20%,2014-05-26,Topanga,0,,90265,3,4
13783491,516.48,Villa,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",2,1,Real Bed,strict,1,LA,t,90%,2015-08-20,Hollywood Hills,1,100,90046,1,1
10089727,594.02,Villa,Entire home/apt,"{""Air conditioning"",""Wheelchair accessible"",Pool,""Free parking on premises"",Gym,""Hot tub"",""Family/kid friendly"",Essentials,Shampoo}",6,1,Real Bed,strict,1,LA,f,100%,2015-06-06,,15,89,90265,3,4
